area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,Under Construction,Nungambakkam,4 BHK,Society5,2677,5,1,103.22
Plot Area,Under Construction,Adyar,4 BHK,Society5,2003,4,0,111.13
Carpet Area,Ready To Move,Tambaram,1 BHK,Society3,914,1,3,32.19
Plot Area,Under Construction,Adyar,2 BHK,Society1,2059,2,3,67.75
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society5,2316,1,2,129.19
Carpet Area,Under Construction,Thiruvanmiyur,2 BHK,Society2,1716,3,0,70.8
Built-up Area,Ready To Move,Velachery,5 BHK,Society3,4339,5,2,196.82
Plot Area,Under Construction,Medavakkam,5 BHK,Society3,2729,3,2,141.84
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society5,3095,4,3,89.65
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society4,1255,2,1,40.84
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society3,2621,2,1,87.92
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society3,3676,1,2,205.27
Carpet Area,Ready To Move,Thiruvanmiyur,3 BHK,Society3,3363,2,3,176.91
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society4,4726,2,1,278.93
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society5,698,1,2,21.44
Carpet Area,Under Construction,Tambaram,3 BHK,Society4,2860,1,3,166.59
Carpet Area,Under Construction,Thiruvanmiyur,4 BHK,Society2,3805,5,0,152.36
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society2,2128,2,0,94.67
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,850,2,0,31.54
Plot Area,Under Construction,T. Nagar,4 BHK,Society1,2614,4,0,164.97
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society2,736,2,0,49.0
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society1,1606,3,3,80.12
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society1,979,2,0,66.29
Built-up Area,Under Construction,Velachery,4 BHK,Society4,2371,2,1,117.33
Plot Area,Under Construction,Adyar,1 BHK,Society1,1002,2,3,44.97
Plot Area,Ready To Move,Velachery,1 BHK,Society2,923,1,3,41.82
Built-up Area,Under Construction,Thiruvanmiyur,2 BHK,Society1,1630,1,0,80.55
Built-up Area,Ready To Move,Adyar,5 BHK,Society1,5230,3,2,164.67
Plot Area,Under Construction,Tambaram,4 BHK,Society5,2130,2,0,133.87
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society2,2836,1,0,154.66
Plot Area,Ready To Move,Tambaram,1 BHK,Society2,1101,2,2,42.31
Plot Area,Under Construction,Medavakkam,5 BHK,Society5,3282,5,2,100.82
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society3,3005,5,0,177.89
Plot Area,Ready To Move,Velachery,2 BHK,Society5,1808,3,3,105.47
Built-up Area,Ready To Move,Adyar,5 BHK,Society2,4625,3,1,164.75
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,2059,3,2,84.98
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society5,2643,3,2,102.36
Carpet Area,Ready To Move,Tambaram,4 BHK,Society4,4105,2,1,115.59
Plot Area,Under Construction,Sholinganallur,1 BHK,Society4,1070,1,2,31.67
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society5,2040,3,3,59.35
Carpet Area,Under Construction,Velachery,5 BHK,Society3,5880,1,2,240.76
Plot Area,Under Construction,Nungambakkam,4 BHK,Society5,2389,1,3,160.02
Plot Area,Under Construction,Kodambakkam,5 BHK,Society4,4078,1,0,245.24
Plot Area,Ready To Move,Thiruvanmiyur,4 BHK,Society4,3133,2,3,103.83
Plot Area,Under Construction,Velachery,2 BHK,Society1,1627,3,0,97.72
Built-up Area,Under Construction,Thiruvanmiyur,4 BHK,Society3,2660,3,1,151.59
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society3,4514,5,1,298.68
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society2,648,1,0,24.58
Carpet Area,Ready To Move,T. Nagar,5 BHK,Society1,2680,4,0,148.73
Plot Area,Ready To Move,Thiruvanmiyur,4 BHK,Society5,4035,5,1,196.01
Built-up Area,Under Construction,T. Nagar,5 BHK,Society2,4829,5,3,154.79
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society2,4412,1,3,233.05
Plot Area,Under Construction,Anna Nagar,4 BHK,Society2,4650,4,0,243.91
Carpet Area,Ready To Move,Adyar,3 BHK,Society4,3542,1,2,95.93
Plot Area,Under Construction,Nungambakkam,1 BHK,Society3,950,2,0,60.59
Built-up Area,Ready To Move,Medavakkam,3 BHK,Society4,2688,1,3,124.49
Carpet Area,Ready To Move,Sholinganallur,4 BHK,Society5,4226,1,0,226.46
Built-up Area,Under Construction,Nungambakkam,5 BHK,Society4,3681,1,0,142.49
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society4,2071,1,1,107.28
Carpet Area,Ready To Move,Medavakkam,3 BHK,Society1,2156,4,2,126.33
Carpet Area,Under Construction,Medavakkam,2 BHK,Society2,2195,1,3,95.66
Built-up Area,Under Construction,T. Nagar,4 BHK,Society2,2293,5,1,114.65
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society4,4214,4,3,247.59
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society1,2850,4,2,182.75
Plot Area,Ready To Move,Tambaram,3 BHK,Society1,2401,2,2,93.71
Built-up Area,Ready To Move,Thiruvanmiyur,2 BHK,Society1,1949,3,0,106.88
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,3083,4,2,89.29
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society5,1290,1,0,84.79
Built-up Area,Ready To Move,Medavakkam,2 BHK,Society2,1352,2,2,73.51
Built-up Area,Ready To Move,Anna Nagar,2 BHK,Society1,1611,2,1,75.4
Built-up Area,Under Construction,Velachery,2 BHK,Society5,1230,1,3,35.91
Plot Area,Under Construction,Nungambakkam,2 BHK,Society3,2275,1,3,87.8
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1040,3,0,27.41
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society2,2331,3,0,74.05
Built-up Area,Ready To Move,Kodambakkam,5 BHK,Society3,2639,4,1,178.43
Carpet Area,Ready To Move,Thiruvanmiyur,2 BHK,Society4,2377,2,3,113.73
Plot Area,Under Construction,Kodambakkam,5 BHK,Society5,5141,2,1,192.07
Plot Area,Under Construction,Anna Nagar,1 BHK,Society5,1112,2,2,47.17
Plot Area,Under Construction,Tambaram,5 BHK,Society4,3634,1,1,158.42
Carpet Area,Ready To Move,Tambaram,5 BHK,Society1,3735,5,2,176.55
Carpet Area,Under Construction,Velachery,5 BHK,Society1,2722,1,0,144.59
Carpet Area,Under Construction,Sholinganallur,2 BHK,Society2,1254,1,1,84.23
Plot Area,Ready To Move,Nungambakkam,3 BHK,Society3,2035,2,1,51.63
Built-up Area,Ready To Move,Thiruvanmiyur,5 BHK,Society3,5379,1,0,350.7
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society1,3454,2,2,239.05
Carpet Area,Ready To Move,Adyar,3 BHK,Society5,1640,1,1,76.62
Plot Area,Ready To Move,Medavakkam,3 BHK,Society3,2246,4,2,125.62
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society1,1353,2,0,66.68
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society1,2813,1,3,97.0
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society2,4999,2,2,222.43
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society2,3015,4,1,148.64
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society3,2880,3,0,141.92
Plot Area,Under Construction,Anna Nagar,5 BHK,Society1,5407,2,2,253.45
Plot Area,Under Construction,Tambaram,2 BHK,Society3,1827,1,3,59.75
Carpet Area,Ready To Move,Sholinganallur,3 BHK,Society1,1657,2,3,45.36
Carpet Area,Under Construction,Kodambakkam,2 BHK,Society1,1763,2,1,75.06
Built-up Area,Under Construction,Velachery,3 BHK,Society5,2508,2,3,156.17
Built-up Area,Ready To Move,Tambaram,1 BHK,Society5,568,1,2,29.91
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society4,1110,2,1,39.23
Built-up Area,Under Construction,Nungambakkam,1 BHK,Society5,755,2,2,30.1
Carpet Area,Under Construction,Nungambakkam,4 BHK,Society3,2399,1,1,85.55
Carpet Area,Under Construction,Adyar,1 BHK,Society1,553,2,3,14.11
Carpet Area,Ready To Move,Tambaram,1 BHK,Society1,972,1,3,62.94
Carpet Area,Ready To Move,Velachery,5 BHK,Society2,5125,2,2,162.7
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society5,637,2,0,18.2
Carpet Area,Ready To Move,Adyar,5 BHK,Society4,3043,2,3,168.05
Plot Area,Under Construction,Anna Nagar,5 BHK,Society4,2689,4,2,187.36
Built-up Area,Under Construction,Thiruvanmiyur,3 BHK,Society4,2913,3,2,80.25
Built-up Area,Under Construction,Thiruvanmiyur,1 BHK,Society2,619,2,3,36.29
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society1,5233,4,2,220.87
Plot Area,Ready To Move,T. Nagar,2 BHK,Society3,2244,1,0,58.37
Built-up Area,Under Construction,Tambaram,1 BHK,Society2,770,1,1,21.36
Plot Area,Under Construction,Thiruvanmiyur,5 BHK,Society5,5028,2,0,240.86
Carpet Area,Ready To Move,Velachery,5 BHK,Society4,5780,5,1,179.52
Built-up Area,Under Construction,Nungambakkam,2 BHK,Society2,1503,2,1,80.63
Plot Area,Ready To Move,Medavakkam,1 BHK,Society1,744,2,0,21.81
Carpet Area,Under Construction,Adyar,3 BHK,Society5,2375,4,0,66.06
Plot Area,Under Construction,Anna Nagar,4 BHK,Society1,3762,5,3,258.64
Built-up Area,Ready To Move,Tambaram,5 BHK,Society1,5061,3,3,185.82
Plot Area,Under Construction,Kodambakkam,4 BHK,Society4,3488,1,0,104.46
Carpet Area,Under Construction,Anna Nagar,2 BHK,Society1,1634,3,3,107.85
Carpet Area,Ready To Move,Velachery,2 BHK,Society2,1061,1,3,71.05
Built-up Area,Ready To Move,Sholinganallur,2 BHK,Society4,2279,3,2,118.41
Plot Area,Under Construction,T. Nagar,1 BHK,Society2,1096,1,2,55.29
Built-up Area,Ready To Move,Medavakkam,4 BHK,Society4,4171,2,3,193.96
Carpet Area,Under Construction,Adyar,2 BHK,Society5,1556,1,3,43.16
Carpet Area,Under Construction,Velachery,3 BHK,Society3,2368,1,3,79.05
Built-up Area,Under Construction,Kodambakkam,3 BHK,Society3,2217,1,1,125.44
Plot Area,Ready To Move,Tambaram,4 BHK,Society1,2615,1,0,84.2
Built-up Area,Under Construction,Nungambakkam,3 BHK,Society5,2707,1,2,91.34
Built-up Area,Under Construction,Tambaram,2 BHK,Society4,1509,1,3,57.0
Carpet Area,Under Construction,Anna Nagar,3 BHK,Society4,2607,1,1,99.12
Carpet Area,Ready To Move,Kodambakkam,1 BHK,Society5,681,2,2,26.96
Built-up Area,Ready To Move,Medavakkam,1 BHK,Society5,1040,1,0,45.94
Plot Area,Ready To Move,T. Nagar,3 BHK,Society1,2205,3,0,127.61
Carpet Area,Under Construction,Tambaram,3 BHK,Society5,1965,3,0,102.73
Plot Area,Ready To Move,Sholinganallur,3 BHK,Society1,2316,1,2,122.64
Plot Area,Ready To Move,Sholinganallur,2 BHK,Society2,1836,3,0,117.21
Carpet Area,Ready To Move,Adyar,5 BHK,Society3,5427,2,0,187.35
Plot Area,Ready To Move,Sholinganallur,1 BHK,Society2,537,2,1,37.29
Carpet Area,Ready To Move,Tambaram,3 BHK,Society5,2069,2,2,85.11
Plot Area,Ready To Move,Adyar,4 BHK,Society2,3463,4,2,101.93
Carpet Area,Under Construction,Nungambakkam,3 BHK,Society4,2903,4,3,178.96
Plot Area,Ready To Move,Velachery,3 BHK,Society3,1894,4,2,120.4
Carpet Area,Ready To Move,Velachery,5 BHK,Society5,4264,1,3,257.56
Built-up Area,Under Construction,Medavakkam,1 BHK,Society2,1142,2,2,60.11
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society5,3548,5,1,199.2
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society4,5422,5,3,279.92
Plot Area,Under Construction,Kodambakkam,5 BHK,Society4,5538,4,0,349.24
Carpet Area,Ready To Move,Velachery,4 BHK,Society2,4488,2,3,184.57
Plot Area,Under Construction,Anna Nagar,5 BHK,Society4,4547,3,1,226.63
Built-up Area,Ready To Move,Thiruvanmiyur,4 BHK,Society1,4009,4,2,145.12
Plot Area,Under Construction,Anna Nagar,1 BHK,Society4,535,2,2,28.6
Built-up Area,Ready To Move,Sholinganallur,4 BHK,Society4,2034,3,1,92.79
Carpet Area,Ready To Move,T. Nagar,5 BHK,Society5,4660,3,2,245.65
Plot Area,Under Construction,Nungambakkam,1 BHK,Society3,804,1,0,29.33
Built-up Area,Ready To Move,T. Nagar,1 BHK,Society1,1125,2,0,34.79
Built-up Area,Ready To Move,Tambaram,2 BHK,Society1,1777,1,2,96.08
Built-up Area,Under Construction,Medavakkam,1 BHK,Society3,655,1,1,26.84
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society4,1144,2,1,59.53
Carpet Area,Under Construction,Thiruvanmiyur,1 BHK,Society5,841,1,2,46.24
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society5,4031,4,3,179.5
Carpet Area,Ready To Move,Medavakkam,5 BHK,Society1,3047,5,3,172.26
Built-up Area,Under Construction,Tambaram,1 BHK,Society3,731,1,2,48.39
Carpet Area,Ready To Move,Tambaram,3 BHK,Society4,2675,3,3,167.63
Plot Area,Under Construction,Sholinganallur,2 BHK,Society5,2324,2,0,69.28
Carpet Area,Ready To Move,Medavakkam,4 BHK,Society2,4796,3,2,121.92
Carpet Area,Under Construction,T. Nagar,5 BHK,Society1,4242,3,3,151.5
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society5,2388,3,3,161.65
Built-up Area,Ready To Move,Velachery,5 BHK,Society4,5288,5,1,200.93
Carpet Area,Under Construction,Sholinganallur,5 BHK,Society3,4110,4,0,146.63
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society5,3081,2,0,122.43
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,548,2,2,28.93
Plot Area,Under Construction,Sholinganallur,2 BHK,Society2,1508,1,1,104.86
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society4,3458,2,0,182.03
Plot Area,Under Construction,Adyar,5 BHK,Society3,3114,1,0,139.59
Built-up Area,Ready To Move,Tambaram,1 BHK,Society1,1153,1,1,52.1
Plot Area,Under Construction,T. Nagar,3 BHK,Society5,2761,3,1,189.65
Carpet Area,Under Construction,T. Nagar,4 BHK,Society5,3354,4,2,116.82
Plot Area,Ready To Move,Velachery,1 BHK,Society5,765,2,1,44.37
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society5,1680,4,2,85.42
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society4,5561,1,3,294.75
Carpet Area,Under Construction,Adyar,4 BHK,Society2,3095,2,3,158.09
Carpet Area,Under Construction,Medavakkam,4 BHK,Society3,3134,4,3,177.54
Built-up Area,Under Construction,Medavakkam,3 BHK,Society4,3084,2,2,116.51
Built-up Area,Ready To Move,Tambaram,4 BHK,Society5,2661,5,1,102.65
Plot Area,Ready To Move,Tambaram,2 BHK,Society1,1930,3,3,96.95
Carpet Area,Under Construction,Medavakkam,5 BHK,Society2,3640,4,1,129.97
Built-up Area,Ready To Move,Tambaram,1 BHK,Society2,1137,2,1,35.57
Plot Area,Ready To Move,Anna Nagar,5 BHK,Society3,4504,1,0,247.72
Carpet Area,Ready To Move,Medavakkam,2 BHK,Society1,1647,1,2,91.82
Carpet Area,Ready To Move,Adyar,2 BHK,Society1,1743,1,1,103.26
Plot Area,Under Construction,Velachery,3 BHK,Society3,1968,4,2,59.43
Plot Area,Ready To Move,Thiruvanmiyur,3 BHK,Society3,3326,2,0,92.75
Carpet Area,Ready To Move,Velachery,5 BHK,Society5,2869,5,0,95.7
Built-up Area,Ready To Move,Velachery,1 BHK,Society4,577,1,1,40.21
Plot Area,Ready To Move,Tambaram,1 BHK,Society1,1116,1,1,28.13
Carpet Area,Ready To Move,Velachery,5 BHK,Society1,2755,5,0,118.74
Carpet Area,Ready To Move,Nungambakkam,2 BHK,Society2,1718,1,2,109.01
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society4,2761,3,3,131.95
Built-up Area,Under Construction,T. Nagar,1 BHK,Society2,622,2,0,20.19
Plot Area,Ready To Move,Anna Nagar,2 BHK,Society3,2083,2,1,128.54
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society4,3031,5,2,113.42
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society3,4749,1,3,146.98
Built-up Area,Ready To Move,Thiruvanmiyur,5 BHK,Society4,3052,3,0,171.93
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society2,517,1,1,26.65
Built-up Area,Ready To Move,Velachery,3 BHK,Society4,3056,3,2,154.88
Built-up Area,Under Construction,Sholinganallur,4 BHK,Society4,4729,4,1,221.9
Plot Area,Ready To Move,Thiruvanmiyur,1 BHK,Society2,861,2,1,22.37
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society3,4554,1,3,136.13
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society5,1766,3,0,90.97
Carpet Area,Ready To Move,Sholinganallur,1 BHK,Society4,989,1,3,67.03
Built-up Area,Ready To Move,T. Nagar,5 BHK,Society4,4103,1,0,189.41
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1962,1,3,121.53
Carpet Area,Ready To Move,Adyar,3 BHK,Society2,3414,1,0,188.3
Plot Area,Under Construction,Tambaram,2 BHK,Society3,2357,2,0,134.95
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society5,2377,1,2,94.92
Plot Area,Under Construction,T. Nagar,5 BHK,Society1,3187,4,0,167.23
Carpet Area,Ready To Move,Velachery,2 BHK,Society1,1006,3,3,65.78
Built-up Area,Ready To Move,Velachery,2 BHK,Society1,2201,1,1,144.65
Plot Area,Ready To Move,Anna Nagar,4 BHK,Society4,4554,2,0,263.23
Plot Area,Ready To Move,T. Nagar,4 BHK,Society1,2734,1,3,186.4
Plot Area,Under Construction,Kodambakkam,2 BHK,Society1,1450,1,0,96.38
Carpet Area,Ready To Move,Anna Nagar,3 BHK,Society5,3304,2,3,212.56
Carpet Area,Ready To Move,T. Nagar,5 BHK,Society1,5096,3,1,207.07
Built-up Area,Ready To Move,Tambaram,2 BHK,Society1,1082,1,3,71.42
Carpet Area,Under Construction,Tambaram,2 BHK,Society5,2216,3,3,127.79
Built-up Area,Ready To Move,Velachery,2 BHK,Society4,2044,1,2,76.49
Plot Area,Under Construction,Adyar,4 BHK,Society5,2962,4,0,122.2
Plot Area,Ready To Move,Thiruvanmiyur,2 BHK,Society2,1864,1,2,100.02
Plot Area,Under Construction,Kodambakkam,2 BHK,Society4,2108,1,3,86.68
Carpet Area,Under Construction,Medavakkam,1 BHK,Society2,899,2,1,45.4
Carpet Area,Ready To Move,Thiruvanmiyur,4 BHK,Society2,2592,2,1,82.2
Built-up Area,Under Construction,Kodambakkam,1 BHK,Society4,996,1,3,46.7
Built-up Area,Ready To Move,Adyar,2 BHK,Society1,2341,3,2,117.62
Plot Area,Ready To Move,Nungambakkam,2 BHK,Society2,1298,2,3,62.26
Carpet Area,Under Construction,Thiruvanmiyur,3 BHK,Society5,2312,2,3,107.99
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society5,702,1,0,36.97
Carpet Area,Under Construction,Tambaram,4 BHK,Society4,2851,2,3,98.02
Plot Area,Under Construction,Kodambakkam,5 BHK,Society4,5692,1,2,311.97
Plot Area,Ready To Move,Nungambakkam,4 BHK,Society3,2002,1,1,62.48
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society4,3461,1,2,158.15
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society5,2590,5,1,107.29
Carpet Area,Under Construction,T. Nagar,2 BHK,Society1,2304,2,0,159.74
Built-up Area,Under Construction,Velachery,4 BHK,Society5,4760,4,0,251.66
Built-up Area,Ready To Move,T. Nagar,4 BHK,Society2,2281,1,0,149.37
Plot Area,Under Construction,Medavakkam,4 BHK,Society1,2078,2,2,85.31
Built-up Area,Ready To Move,Velachery,4 BHK,Society2,2063,3,2,102.02
Plot Area,Under Construction,Nungambakkam,1 BHK,Society3,787,1,2,33.96
Carpet Area,Under Construction,Sholinganallur,1 BHK,Society2,1053,1,1,58.12
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society4,3961,4,1,243.67
Carpet Area,Under Construction,T. Nagar,2 BHK,Society3,2227,2,2,122.36
Carpet Area,Ready To Move,T. Nagar,3 BHK,Society3,1573,4,3,103.79
Built-up Area,Ready To Move,Velachery,1 BHK,Society3,811,2,1,38.58
Plot Area,Ready To Move,Velachery,1 BHK,Society4,982,2,1,63.74
Plot Area,Under Construction,Anna Nagar,5 BHK,Society5,5766,3,2,297.09
Plot Area,Under Construction,Tambaram,5 BHK,Society5,4746,4,3,143.85
Built-up Area,Under Construction,Anna Nagar,5 BHK,Society3,4786,1,0,225.84
Built-up Area,Under Construction,Velachery,1 BHK,Society1,1128,1,1,49.32
Plot Area,Under Construction,Kodambakkam,3 BHK,Society3,3283,1,0,209.14
Built-up Area,Under Construction,T. Nagar,5 BHK,Society1,5892,4,2,219.83
Plot Area,Ready To Move,Medavakkam,1 BHK,Society5,960,1,3,33.02
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society4,3676,4,1,173.47
Plot Area,Under Construction,Velachery,4 BHK,Society2,2429,4,0,74.03
Built-up Area,Under Construction,Sholinganallur,1 BHK,Society3,645,2,2,40.4
Plot Area,Ready To Move,Kodambakkam,3 BHK,Society4,2378,4,0,162.91
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society4,1124,1,1,51.52
Built-up Area,Ready To Move,Thiruvanmiyur,1 BHK,Society3,827,2,1,46.28
Carpet Area,Ready To Move,T. Nagar,1 BHK,Society2,663,1,0,30.33
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society4,2145,4,0,66.57
Carpet Area,Ready To Move,Nungambakkam,4 BHK,Society4,3567,4,3,93.61
Plot Area,Under Construction,Thiruvanmiyur,4 BHK,Society2,3484,4,2,91.53
Built-up Area,Ready To Move,Velachery,2 BHK,Society1,2060,3,1,54.44
Carpet Area,Ready To Move,Adyar,5 BHK,Society1,2514,4,1,146.88
Built-up Area,Ready To Move,Thiruvanmiyur,3 BHK,Society2,3538,1,3,98.48
Plot Area,Under Construction,Anna Nagar,1 BHK,Society1,850,1,0,22.73
Built-up Area,Ready To Move,Nungambakkam,4 BHK,Society3,4637,5,2,292.68
Built-up Area,Ready To Move,Nungambakkam,3 BHK,Society2,3288,2,3,146.52
Plot Area,Ready To Move,Tambaram,5 BHK,Society1,3330,4,0,137.72
Plot Area,Ready To Move,Kodambakkam,1 BHK,Society3,1041,1,3,29.85
Carpet Area,Ready To Move,Adyar,5 BHK,Society2,5970,2,1,292.2
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society5,2699,4,0,92.77
Plot Area,Under Construction,Medavakkam,1 BHK,Society1,1188,1,3,39.35
Plot Area,Under Construction,Tambaram,3 BHK,Society3,2987,4,2,113.62
Built-up Area,Under Construction,Medavakkam,1 BHK,Society4,915,1,1,35.57
Carpet Area,Under Construction,Anna Nagar,5 BHK,Society4,5719,2,3,220.42
Built-up Area,Ready To Move,Anna Nagar,3 BHK,Society4,1955,2,3,135.4
Carpet Area,Ready To Move,Anna Nagar,4 BHK,Society2,3106,1,0,80.93
Carpet Area,Under Construction,Kodambakkam,1 BHK,Society1,1175,1,3,48.1
Carpet Area,Ready To Move,Tambaram,3 BHK,Society3,1580,1,2,46.0
Built-up Area,Ready To Move,Anna Nagar,5 BHK,Society3,2859,2,2,109.81
Built-up Area,Under Construction,Tambaram,5 BHK,Society3,2805,2,2,118.17
Plot Area,Ready To Move,Medavakkam,2 BHK,Society1,1208,1,1,78.87
Plot Area,Ready To Move,Medavakkam,5 BHK,Society5,2805,2,2,72.95
Carpet Area,Ready To Move,Anna Nagar,1 BHK,Society1,782,1,2,54.26
Carpet Area,Ready To Move,Thiruvanmiyur,1 BHK,Society4,806,1,2,35.91
Built-up Area,Ready To Move,Nungambakkam,2 BHK,Society1,2106,3,3,71.31
Carpet Area,Ready To Move,Anna Nagar,5 BHK,Society3,5600,1,2,165.42
Plot Area,Ready To Move,Adyar,1 BHK,Society1,560,1,1,21.53
Built-up Area,Under Construction,Kodambakkam,5 BHK,Society2,2826,1,0,164.7
Plot Area,Under Construction,Adyar,2 BHK,Society3,1988,2,2,89.93
Carpet Area,Under Construction,Sholinganallur,4 BHK,Society3,4363,3,0,271.17
Plot Area,Under Construction,Anna Nagar,3 BHK,Society1,1870,4,0,112.62
Built-up Area,Under Construction,Kodambakkam,2 BHK,Society2,1771,1,1,61.03
Plot Area,Ready To Move,Nungambakkam,1 BHK,Society1,814,1,3,23.5
Built-up Area,Ready To Move,Tambaram,3 BHK,Society3,3576,3,0,223.93
Built-up Area,Under Construction,Medavakkam,1 BHK,Society1,1186,1,3,72.05
Built-up Area,Under Construction,Sholinganallur,2 BHK,Society2,1272,2,0,68.7
Carpet Area,Under Construction,Tambaram,4 BHK,Society1,3089,5,0,171.68
Carpet Area,Under Construction,Tambaram,2 BHK,Society4,1614,2,3,72.98
Carpet Area,Under Construction,T. Nagar,3 BHK,Society5,2081,3,2,114.3
Carpet Area,Under Construction,Kodambakkam,3 BHK,Society2,3128,3,3,206.69
Built-up Area,Ready To Move,T. Nagar,2 BHK,Society3,2077,2,0,136.43
Carpet Area,Ready To Move,Nungambakkam,1 BHK,Society5,866,1,3,37.64
Plot Area,Under Construction,Tambaram,1 BHK,Society3,802,2,0,35.87
Plot Area,Ready To Move,Sholinganallur,4 BHK,Society1,4657,1,3,126.24
Carpet Area,Under Construction,Anna Nagar,4 BHK,Society2,3427,4,3,161.69
Carpet Area,Under Construction,Adyar,2 BHK,Society2,2258,3,3,135.98
Plot Area,Under Construction,Kodambakkam,1 BHK,Society5,756,2,0,44.83
Carpet Area,Under Construction,Medavakkam,5 BHK,Society4,4961,5,1,298.38
Carpet Area,Ready To Move,Adyar,3 BHK,Society3,2728,2,1,142.4
Built-up Area,Under Construction,Anna Nagar,2 BHK,Society1,2327,3,0,143.0
Built-up Area,Under Construction,T. Nagar,1 BHK,Society4,690,2,3,32.35
Carpet Area,Ready To Move,Tambaram,3 BHK,Society4,2032,3,1,63.29
Plot Area,Ready To Move,Kodambakkam,5 BHK,Society2,3905,1,2,106.89
Plot Area,Ready To Move,Adyar,5 BHK,Society1,2939,1,1,96.51
Carpet Area,Ready To Move,T. Nagar,4 BHK,Society1,4708,5,1,228.61
Plot Area,Ready To Move,Velachery,1 BHK,Society5,1040,1,2,64.36
Built-up Area,Ready To Move,Sholinganallur,5 BHK,Society1,3674,5,0,225.39
Built-up Area,Under Construction,Anna Nagar,4 BHK,Society2,4356,1,1,212.83
Built-up Area,Ready To Move,Velachery,3 BHK,Society3,3441,1,3,176.52
Plot Area,Under Construction,Tambaram,4 BHK,Society2,4064,4,2,252.13
Built-up Area,Under Construction,Medavakkam,3 BHK,Society1,2012,3,0,125.14
Plot Area,Under Construction,Kodambakkam,3 BHK,Society5,3481,1,3,193.7
Built-up Area,Under Construction,Adyar,3 BHK,Society2,2346,2,1,112.19
Carpet Area,Ready To Move,Sholinganallur,2 BHK,Society4,1928,1,3,80.93
Plot Area,Under Construction,Adyar,5 BHK,Society2,2527,5,1,116.24
